[2018-01-05 15:00:21,058] - [INFO] - TEST Message
[2018-01-05 15:09:06,199] - [INFO] - TEST Message 2
[2018-01-05 15:32:01,205] - [INFO] - TEST Message 3
[2018-01-24 11:43:59,992] - [INFO] - 2018-01-24 11:43:59.992139
[2018-01-24 11:46:22,799] - [INFO] - 2018-01-24 11:46:22.799870
[2018-01-24 17:43:46,827] - [ERROR] - division by zero
[2018-01-24 17:51:46,205] - [ERROR] - division by zero
[2018-01-24 17:51:46,205] - [INFO] - [RETRYING] test_decorator: 1/3
[2018-01-24 17:51:46,205] - [ERROR] - division by zero
[2018-01-24 17:51:46,205] - [INFO] - [RETRYING] test_decorator: 2/3
[2018-01-24 17:51:46,221] - [ERROR] - division by zero
[2018-01-24 17:51:46,221] - [INFO] - [RETRYING] test_decorator: 3/3
[2018-01-24 17:51:46,221] - [ERROR] - division by zero
